name, role, title
"Oliver Platt", "Bob Zelnick", "Frost/Nixon"
"Sam Rockwell", "James Reston, Jr.", "Frost/Nixon"
"Jack Nicholson", "Hoffa", "Hoffa"
"Danny DeVito", "Robert 'Bobby' Ciaro", "Hoffa"
"J.T. Walsh", "Frank Fitzsimmons", "Hoffa"
"John C. Reilly", "Peter 'Pete' Connelly", "Hoffa"
"Tom Hanks", "Jim Lovell", "Apollo 13"
"Kevin Bacon", "Jack Swigert", "Apollo 13"
"Ed Harris", "Gene Kranz", "Apollo 13"
"Bill Paxton", "Fred Haise", "Apollo 13"
"Gary Sinise", "Ken Mattingly", "Apollo 13"
"Bill Paxton", "Bill Harding", "Twister"
"Helen Hunt", "Dr. Jo Harding", "Twister"
"Zach Grenier", "Eddie", "Twister"
"Philip Seymour Hoffman", "Dustin 'Dusty' Davis", "Twister"
"Tom Hanks", "Chuck Noland", "Cast Away"
"Helen Hunt", "Kelly Frears", "Cast Away"
"Jack Nicholson", "Randle McMurphy", "One Flew Over the Cuckoo's Nest"
"Danny DeVito", "Martini", "One Flew Over the Cuckoo's Nest"
"Jack Nicholson", "Harry Sanborn", "Something's Gotta Give"
"Diane Keaton", "Erica Barry", "Something's Gotta Give"
"Keanu Reeves", "Julian Mercer", "Something's Gotta Give"
"Robin Williams", "Andrew Marin", "Bicentennial Man"
"Oliver Platt", "Rupert Burns", "Bicentennial Man"
"Tom Hanks", "Rep. Charlie Wilson", "Charlie Wilson's War"
"Julia Roberts", "Joanne Herring", "Charlie Wilson's War"
"Philip Seymour Hoffman", "Gust Avrakotos", "Charlie Wilson's War"
"Tom Hanks", "Hero Boy", "The Polar Express"
"Tom Hanks", "Jimmy Dugan", "A League of Their Own"
"Geena Davis", "Dottie Hinson", "A League of Their Own"
"Lori Petty", "Kit Keller", "A League of Their Own"
"Rosie O'Donnell", "Doris Murphy", "A League of Their Own"
"Madonna", "'All the Way' Mae Mordabito", "A League of Their Own"
"Bill Paxton", "Bob Hinson", "A League of Their Own"
