ID,runtime,title,release_date
200,103,Star Trek: Insurrection,913248000
63103,0,,0
51332,0,,0
9262,97,My Mom's New Boyfriend,1209513600
10627,126,Taps,377654400
41207,0,,0
20265,0,,0
28572,0,,0
40277,0,,0
6218,0,,0
3111,181,A Star Is Born,-481507200
56942,108,Family Life,60393600
40103,0,,0
33868,0,,0
30819,0,,0
39753,0,,0
46627,0,,0
22521,135,Terror's Advocate,1181088000
11728,0,,0
45199,0,,0
22009,0,,0
32289,0,,0
55303,0,,0
45355,0,,0
7109,0,,0
8677,180,The Bourne Identity,579052800
28250,0,,0
41826,0,,0
47133,0,,0
64903,0,,0
29448,0,,0
45213,102,French Cancan,-473817600
13863,0,,0
24836,0,,0
25651,82,Real Fiction,961804800
64508,119,Hard to Be a God,621302400
17274,105,American Pastime,1179100800
57791,0,,0
59727,0,,0
17802,0,,0
12047,0,,0
44829,0,,0
33311,0,,0
57260,0,,0
15372,93,Jimmy Carr: Comedian,1194220800
62914,0,,0
6225,0,,0
21570,175,Rangeela,788918400
43752,99,The Wackiest Ship in the Army,-284256000
32485,0,,0
62472,90,Battle in Outer Space,-316137600
41649,0,,0
40755,0,,0
2229,0,,0
55591,0,,0
2132,94,Totally Blonde,978307200
29013,0,,0
2751,0,,0
45260,0,,0
53555,0,,0
11491,0,,0
8458,0,,0
39685,0,,0
49342,0,,0
30584,102,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,461548800
30597,0,,0
52283,0,,0
61124,0,,0
20347,108,Takeshis',1125619200
8954,102,Reservation Road,1189641600
15210,0,,0
35094,0,,0
38072,0,,0
46016,89,Road to Redemption,1001635200
21660,0,,0
34767,93,The White Stripes: Under Great White Northern Lights,1230768000
24682,0,,0
36942,0,,0
57315,0,,0
53339,0,,0
9311,121,Smilla's Sense of Snow,855792000
7044,0,,0
26171,99,Everybody's Fine,1259884800
56063,0,,0
21311,114,I Dreamed of Africa,957484800
58601,0,,0
26023,0,,0
14389,100,Danny Deckchair,1053043200
7810,0,,0
25409,0,,0
23233,0,,0
19166,86,House Of 9,1104537600
34125,92,Vampire Journals,856828800
38594,35,Dragon Ball: Yo! Son Goku and Friends Return!!,1222819200
51070,0,,0
36818,89,Smorgasbord,419040000
59926,0,,0
18746,0,,0
240,200,The Godfather: Part II,156729600
59706,68,The Fatal Hour,-945561600
14373,88,Death Wish 2,383011200
22542,0,,0
42937,0,,0
5474,0,,0
58682,0,,0
63544,0,,0
50415,0,,0
62522,104,35 and Ticking,1305849600
53149,0,,0
38902,0,,0
27489,0,,0
54980,0,,0
40094,0,,0
39243,92,Off Beat,513475200
29912,135,The Robe,-514166400
20370,0,,0
15126,85,Eldorado,1212537600
4761,0,,0
51398,0,,0
35119,120,A Cry in the Dark,595209600
465,88,Junior Size 36,573350400
60199,90,Hotel Room,733622400
20080,0,,0
37490,0,,0
32969,89,Pretty Poison,-45964800
43513,78,Stormy Weather,-834710400
55513,0,,0
34756,0,,0
43912,98,Courage Mountain,634953600
27672,0,,0
47031,0,,0
8422,178,Rocco and His Brothers,-291513600
21740,0,,0
13856,81,Special,1138579200
25413,85,The Suspect,-791596800
38069,0,,0
45594,0,,0
53209,78,The Patsy,-1315785600
2057,118,Original Sin,996796800
34133,0,,0
50131,0,,0
35723,0,,0
18128,58,Chris Rock: Bring the Pain,833587200
64974,0,,0
40409,0,,0
15479,0,,0
43939,107,I'm Still Here,1284076800
27096,0,,0
63419,0,,0
37012,0,,0
41882,0,,0
21829,0,,0
28655,0,,0
32329,45,Looking for Langston,625795200
64337,0,,0
61506,0,,0
26390,133,Brooklyn's Finest,1232064000
401,102,Garden State,1090972800
63024,0,,0
31699,0,,0
43361,86,The White Sheik,-545356800
10785,87,The Thing from Another World,-589420800
720,0,,0
43987,113,No Mercy for the Rude,1156377600
58106,0,The Boy Next Door,1212278400
28296,95,Queen Bee,-446601600
10165,62,Fear and Desire,-528681600
55695,0,,0
64263,0,,0
53039,0,,0
52689,0,,0
7466,0,,0
15285,100,Growing Op,1227225600
1666,93,The Bridge,1161907200
59636,0,,0
1048,0,,0
27844,0,,0
40060,104,The Manitou,262569600
62722,89,The Green Glove,-563068800
26220,0,,0
26527,0,,0
7588,0,,0
12135,102,Left Bank,1206489600
40872,0,,0
25170,0,,0
62173,0,,0
57099,0,,0
29282,0,,0
55323,0,,0
12335,117,Bedknobs and Broomsticks,55641600
7553,94,Waiting...,1128643200
52609,0,,0
55498,0,,0
12825,0,,0
46005,0,,0
60539,84,The Cimarron Kid,-567043200
49766,0,,0
56642,0,,0
20635,0,,0
2278,0,,0
44701,0,,0
28507,0,,0
50524,0,,0
8536,127,Superman II,344736000
34322,107,Murphy's Romance,504316800
63565,0,,0
42738,114,Scorpio,103248000
10227,124,PlayTime,-64540800
29227,0,,0
53191,90,Crazy Sexy Cancer,1173571200
57271,0,,0
30709,113,...All the Marbles,372038400
3473,0,,0
20300,0,,0
40829,97,Shaolin Wooden Men,213753600
58174,0,,0
48924,0,,0
6482,0,,0
48587,85,Living Death,1165881600
44681,0,,0
15381,0,,0
52336,0,,0
38983,111,Attack the Gas Station 2,1264032000
16098,0,,0
56492,0,,0
12904,0,,0
39777,0,,0
22710,0,,0
62069,87,Four More Years,1290643200
50516,0,,0
25720,100,The Whistle Blower,532915200
6815,0,,0
12876,0,,0
14171,106,Home of the Brave,1166140800
47089,85,The Middle of the World,1063324800
19322,125,Who Dares Wins,399168000
19778,0,,0
49738,0,,0
24199,95,Ellis in Glamourland,1095984000
37228,75,Anarchism in America,410227200
56234,0,,0
48969,0,,0
22088,0,,0
64269,0,,0
41353,0,,0
20447,0,,0
55407,0,,0
18625,0,,0
40138,0,,0
25819,0,,0
15073,90,Cargo,1135555200
52794,82,Baxter,601084800
14645,88,Santa Claus Is a Stinker,399081600
37068,0,,0
64288,90,Forks Over Knives,1304640000
11106,0,,0
25909,0,,0
14513,0,,0
27904,105,Syndromes and a Century,1156982400
2849,0,,0
36560,0,,0
33679,0,,0
4402,0,,0
53928,91,Adam and Eve,1131148800
28454,0,,0
31989,0,,0
41729,0,,0
21422,0,,0
19103,127,As You Like It,1136073600
3781,0,,0
47991,0,,0
19353,0,,0
47290,0,,0
42430,93,Symbol,1252713600
52781,0,,0
44546,94,Lathe of Heaven,1031443200
23004,0,,0
6844,220,The Ten Commandments,-417830400
47649,0,,0
56166,0,,0
41018,82,Man in the Attic,-505699200
25886,0,,0
24769,100,Psy II: Ostatnia krew,765504000
23158,0,,0
19534,0,,0
45754,0,,0
53848,0,,0
6257,0,,0
44515,0,,0
12122,99,Village of the Damned,799027200
2633,0,,0
29648,0,,0
40920,103,The Business of Fancydancing,1010966400
57463,0,,0
50416,94,Grizzly Falls,941760000
62881,0,,0
64822,0,Dear Goddamned Friends,757382400
51675,95,Escape from Suburbia: Beyond the American Dream,1167609600
58184,0,,0
58523,0,,0
32429,0,,0
21251,89,Carry On England,212976000
60116,87,Teresa Venerdì,-915148800
6707,0,,0
4206,0,,0
16716,95,A Christmas Carol,944352000
46368,90,The Rig,1286236800
38683,71,Cobra Woman,-809136000
55004,0,,0
47342,98,Radioactive Dreams,527472000
46284,0,,0
52528,91,Bloodbath at the House of Death,449366400
7216,84,Zombie Holocaust,322963200
36349,100,Black Moon Rising,505699200
47175,0,,0
38254,0,,0
36065,0,,0
54747,0,,0
17853,0,,0
9683,84,Bubble Boy,998611200
14792,0,,0
5016,0,,0
62784,0,,0
7831,0,,0
32365,0,,0
45678,0,,0
13762,91,The Private Eyes,324777600
50399,0,,0
54399,0,,0
2535,0,,0
58674,0,,0
36060,0,,0
13313,72,Beauty and the Beast: The Enchanted Christmas,879206400
61733,0,,0
15171,94,Charlotte's Web,99792000
15539,0,,0
39107,55,Dragon Ball Z: Fusion Reborn,794275200
18146,112,Up Periscope,-341798400
51024,0,,0
11777,100,I.Q.,788227200
2257,0,,0
57574,0,,0
1605,0,,0
49783,0,,0
6928,0,,0
6287,0,,0
32575,84,Putney Swope,-15120000
13927,5,Tin Toy,586396800
732,0,,0
58405,75,Don't Look Up,820454400
34703,99,Agallas,1252022400
56961,0,,0
27199,0,,0
16439,117,The Country Teacher,1205971200
46588,88,Zigzag of Success,-63158400
32662,0,,0
59638,0,,0
22214,0,,0
2853,0,,0
60284,0,,0
1041,0,,0
34237,0,,0
1391,106,Y Tu Mamá También,991958400
5168,104,To Be and to Have,1021766400
53382,0,,0
10497,139,Bitter Moon,715392000
44081,92,Under the Skin of the City,981244800
21944,0,,0
28616,0,,0
27424,0,,0
19638,0,,0
18158,83,Earth vs. the Flying Saucers,-425865600
16148,116,Zero Effect,886118400
26021,0,,0
56972,0,,0
63822,0,,0
40297,0,,0
1451,0,,0
41579,109,Getting Even with Dad,771811200
15462,97,Car Wash,214790400
52622,105,Total Western,960854400
6913,0,,0
33037,89,"Hey There,-189388800
35125,96,Taxi Zum Klo,341884800
52035,25,The Mystery of the Leaping Fish,-1690156800
16229,95,Prozac Nation,999907200
31904,0,,0
32786,0,,0
1686,210,Chelsea Girls,-104025600
8978,109,Assault on Precinct 13,1106092800
26071,0,,0
8090,101,Untraceable,1200960000
15627,0,,0
28573,96,"Io,-9676800
1266,109,Street Kings,1207785600
43916,0,,0
5927,100,Junior Bonner,81561600
29609,85,The Ghost Train,-915148800
25175,0,,0
50750,0,,0
32174,0,,0
23662,0,,0
4335,0,,0
33340,97,The Angel,1254441600
44824,0,,0
43541,0,,0
55454,0,,0
50146,0,,0
59942,0,,0
37682,0,,0
37843,92,Blood Beach,336614400
44239,4,The Alphabet,-63158400
59766,0,,0
5136,0,,0
33142,0,,0
56284,0,,0
4247,88,Scary Movie,962928000
55038,0,,0
22221,0,,0
10504,0,,0
55234,0,,0
35141,0,,0
15309,0,,0
54989,0,,0
51722,104,Children Underground,1000857600
53962,0,The Mediator,631152000
52204,62,The Brain Eaters,-357696000
62872,0,,0
26904,0,,0
16521,0,,0
18985,0,,0
3085,92,His Girl Friday,-945302400
38201,106,Framed,176083200
5894,83,Blue in the Face,811123200
15764,151,Sophie's Choice,408153600
20785,48,Emmet Otter's Jug-Band Christmas,251164800
28288,107,The Gay Divorcee,-1111536000
9312,101,Mortal Kombat,808704000
10057,105,The Three Musketeers,752976000
38223,100,Harriet the Spy,836956800
19176,102,The Cowboy Way,770601600
9323,83,Ghost in the Shell,816652800
10467,118,The Road to Wellville,783302400
36266,123,Cyclo,788918400
78802,50,Wings of Courage,843004800
259209,116,Feast of July,813456000
26605,0,,0
2471,0,,0
45035,119,King and the Clown,1135814400
239,122,Some Like It Hot,-340588800
110513,90,Girls Town,840585600
32872,113,Til There Was You,864950400
12751,0,,0
30398,0,,0
57080,0,,0
43898,109,The Lives of a Bengal Lancer,-1103673600
42596,0,,0
53221,0,,0
27337,114,Linda Linda Linda,1122076800
27813,91,Basket Case,387590400
38765,111,Chisum,17539200
29051,0,,0
57812,87,51,1298678400
6604,0,,0
53066,0,,0
3390,0,,0
42704,0,,0
26300,103,Fist of the North Star,798508800
17588,0,,0
51995,96,Salvation Boulevard,1310688000
20977,78,Gas Station Queen,-222912000
6830,0,,0
55358,0,,0
42243,110,The Bingo Long Traveling All-Stars & Motor Kings,206323200
54133,93,Madhouse,347155200
5205,85,Pumping Iron,222393600
29162,78,Ever Since the World Ended,987811200
52153,0,,0
5459,0,,0
21154,0,,0
60919,0,,0
3981,127,What Women Want,976838400
62276,110,Bummer,1059782400
12583,94,Ginger Snaps Back: The Beginning,1089417600
62243,0,I giorni contati,-220924800
55814,0,,0
4610,0,,0
31364,153,Waqt: The Race Against Time,1114128000
38977,98,A Stranger of Mine,1121472000
41556,95,The Romantics,1284076800
23073,0,,0
62063,0,,0
22673,0,,0
40871,0,,0
60605,0,,0
20218,0,,0
24351,98,Flight of Fury,1171929600
14640,0,,0
37952,170,The Weeping Meadow,1077235200
58550,124,Memoirs of a Teenage Amnesiac,1269648000
17311,0,,0
36622,0,,0
30100,0,,0
41365,64,Slayers Gorgeous,883612800
53202,123,The T.A.M.I. Show,-158025600
28339,0,,0
26178,95,Razorback,451180800
10429,92,Takedown,953078400
44049,99,Matching Jack,1282176000
64122,0,,0
47866,101,Gas Food Lodging,710726400
64155,82,La Notte del mio primo amore,1155254400
32391,0,,0
22409,0,,0
33862,0,,0
41934,74,Heavy Petting,599616000
15974,151,Bhoothnath,1210291200
19827,103,The In-Laws,298252800
124,109,No End,487814400
31821,102,Now You Know,1009843200
415,125,Batman & Robin,866764800
62167,0,,0
25467,79,Before I Self Destruct,1258329600
53482,100,One Man Up,999216000
25498,0,,0
30570,0,,0
18878,0,,0
61600,0,,0
13326,0,,0
13612,99,Cheech & Chong's Next Movie,332726400
3334,0,,0
37793,39,Ghosts,873331200
51135,0,,0
38968,0,,0
53418,22,One A.M.,-1685232000
16055,0,,0
17474,99,The Man in the Moon,686188800
17566,112,Brave Story,1148256000
16461,0,,0
55293,0,,0
3199,0,,0
46445,90,Buddy goes West,358646400
59905,0,,0
536,0,,0
33854,0,,0
33699,0,,0
53563,0,,0
56489,0,The Last Real Men,812678400
31640,101,Blood and Wine,844300800
35993,0,,0
5334,119,Billy Budd,-225244800
41220,0,,0
46013,0,,0
5043,0,,0
18425,105,Clubland,1186099200
20019,0,,0
18325,0,,0
25795,105,Thieves,1186531200
8231,0,,0
64093,0,,0
38326,137,Yuri's Day,1218499200
17,87,The Dark,1138233600
45180,0,,0
148,112,The Secret Life of Words,1134604800
17320,87,The TV Set,1146182400
44937,80,Amélie au pays des Bodin's,1274832000
1820,0,,0
3407,0,,0
18117,100,Dean Spanley,1229040000
24138,0,,0
41770,0,,0
27861,92,Mimino,234403200
37072,0,,0
42083,0,,0
54655,95,Jersey Girl,712540800
23219,0,,0
20470,0,,0
20677,0,,0
26587,108,Dread,1247529600
48074,0,,0
16759,89,Five Minutes of Heaven,1232323200
45331,0,,0
62698,0,,0
44142,104,Ginger & Cinnamon,1049414400
46645,0,,0
1568,38,Carne,673056000
54310,0,,0
101230,0,1-900,778377600
10842,108,Strange Circus,1135382400
10660,101,It Could Happen to You,775440000
34425,0,,0
19590,101,By the Light of the Silvery Moon,-529200000
3960,0,,0
1557,99,23,899337600
44213,0,,0
6058,90,The Patriot,900028800
28527,89,The Polish Bride,890870400
51603,0,,0
43235,0,,0
8986,108,Milk Money,778291200
17275,84,The All Together,1167609600
1615,80,Erkan & Stefan 2,1024531200
55751,0,,0
29831,0,,0
12484,90,The Forsaken,988329600
3998,0,,0
40743,54,Winds of the Wasteland,-1056844800
52882,0,,0
57235,0,,0
28047,107,Phoenix,904867200
27814,86,Brain Damage,577065600
62992,0,,0
8915,111,Amelia,1256169600
53355,96,Nightmare at Noon,591408000
7319,0,,0
30269,0,,0
6405,0,,0
40078,0,,0
55337,0,,0
44609,0,,0
5130,0,,0
29468,0,,0
2172,86,Pathfinder,557452800
8001,0,,0
34318,0,,0
56680,0,,0
10085,88,Unrest,1161475200
8780,99,Baby Mama,1208908800
46070,0,,0
15630,0,,0
41140,0,,0
38581,0,,0
33020,96,Dracula A.D. 1972,86400000
56895,0,,0
